7.8.3,lts-0.7
7.8.4,lts-2.22
7.10.1,nightly-2015-08-04
7.10.2,lts-3.22
7.10.3,lts-6.35
8.0.1,lts-7.24
8.0.2,lts-9.21
8.2.1,nightly-2017-11-24
8.2.2,lts-11.22
8.4.1,nightly-2018-04-21
8.4.2,nightly-2018-05-30
8.4.3,lts-12.14
8.4.4,lts-12.26
8.6.1,nightly-2018-11-11
8.6.2,nightly-2018-12-17
8.6.3,lts-13.11
8.6.4,lts-13.19
8.6.5,lts-14.27
8.8.1,nightly-2020-01-21
8.8.2,lts-15.3
8.8.3,lts-16.11
8.8.4,lts-16.31
8.10.1,nightly-2020-08-16
8.10.2,nightly-2020-12-14
8.10.3,lts-17.2
8.10.4,lts-18.6
8.10.6,lts-18.8
8.10.7,lts-18.28
9.0.1,nightly-2022-01-06
9.0.2,lts-19.33
9.2.2,nightly-2022-06-06
9.2.3,nightly-2022-07-31
9.2.4,nightly-2022-11-12
9.2.5,lts-20.11
9.2.6,lts-20.12
9.2.7,lts-20.24
9.2.8,lts-20.26
9.4.3,nightly-2022-12-26
9.4.4,nightly-2023-04-24
9.4.5,lts-21.7
9.4.6,lts-21.11
9.4.7,lts-21.21
9.4.8,lts-21.25
9.6.2,nightly-2023-09-30
9.6.3,lts-22.6
9.6.4,lts-22.20
9.6.5,lts-22.27
9.6.6,lts-22.43
9.6.7,lts-22.44
9.8.1,nightly-2024-03-07
9.8.2,nightly-2024-10-21
9.8.3,nightly-2024-12-04
9.8.4,lts-23.28
9.10.1,nightly-2025-05-05
9.10.2,lts-24.11
9.10.3,lts-24.23
9.12.2,nightly-2025-12-10
